Approximate Lat,Approximate Lon,City Name,Country Code,Exact Coordinates,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Max Temp
25.59,124.8,hirara,jp,"(24.803788, 125.302222)",24.803788,125.302222,76.62,64,40,10.29,78.8
-40.15,101.19,busselton,au,"(-33.652489, 115.345497)",-33.652489,115.345497,73.99,45,100,10.09,73.99
8.57,67.83,kavaratti,in,"(10.566667, 72.616667)",10.566667,72.616667,82.62,70,19,8.68,82.62
-38.68,62.82,saint-philippe,re,"(-21.35, 55.7666667)",-21.35,55.7666667,60.01,72,75,9.17,66.2
46.87,101.73,hovd,mn,"(44.6666667, 102.1666667)",44.6666667,102.1666667,31.59,72,98,0.47,31.59
89.49,-62.27,narsaq,gl,"(77.3025, -68.8425)",77.3025,-68.8425,12.18,90,89,4.47,12.18
3.19,112.96,bintulu,my,"(3.166667, 113.033333)",3.166667,113.033333,82.2,88,20,3.36,82.4
-15.28,-97.89,puerto ayora,ec,"(-0.75, -90.3166667)",-0.75,-90.3166667,70,93,89,5.01,70
16.21,101.78,kaset sombun,th,"(16.280528, 101.954222)",16.280528,101.954222,78.12,79,66,5.64,78.12
-18.36,-170.8,alofi,nu,"(-19.0166667, -169.9166667)",-19.0166667,-169.9166667,78.8,78,90,17.22,78.8
17.1,-16.84,saint-louis,sn,"(16.0188889, -16.4952778)",16.0188889,-16.4952778,80.92,64,66,22.24,80.92
10.98,-76.25,cartagena,co,"(10.399722, -75.514444)",10.399722,-75.514444,84.2,79,75,6.93,84.2
69.66,-141.07,aklavik,ca,"(68.216667, -135.0)",68.216667,-135.0,5,84,97,3.36,5
50.14,100.34,moron,mn,"(49.6452778, 100.1544444)",49.6452778,100.1544444,26.11,79,100,20.58,26.11
-16.34,-66.0,colomi,bo,"(-17.35, -65.8666667)",-17.35,-65.8666667,64.4,48,75,11.41,64.4
-31.39,23.14,carnarvon,za,"(-30.968266, 22.133026)",-30.968266,22.133026,55.49,39,87,18.14,55.49
-39.72,-104.68,ancud,cl,"(-41.869722, -73.820278)",-41.869722,-73.820278,52.36,81,0,5.82,53.01
-50.31,133.61,portland,au,"(-38.352612, 141.605743)",-38.352612,141.605743,56.61,71,91,11.21,56.61
-11.87,113.59,muncar,id,"(-8.4365, 114.3391)",-8.4365,114.3391,74.08,93,100,3.83,74.08
41.32,98.3,jiayuguan,cn,"(39.816667, 98.3)",39.816667,98.3,38.89,65,99,3.11,38.89
15.41,-122.8,constitucion,mx,"(25.036944, -111.664444)",25.036944,-111.664444,74.43,50,100,9.64,74.43
47.0,-101.99,dickinson,us,"(46.8791667, -102.7891667)",46.8791667,-102.7891667,46.4,75,1,17.22,46.4
-3.69,-48.06,paragominas,br,"(-2.966667, -47.483333)",-2.966667,-47.483333,76.59,78,26,3.18,76.59
-31.25,40.13,beloha,mg,"(-25.1666667, 45.05)",-25.1666667,45.05,62.01,73,0,9.24,62.01
4.8,159.76,namatanai,pg,"(-3.6666667, 152.4333333)",-3.6666667,152.4333333,84.87,68,99,3.67,84.87
-40.66,78.22,mahebourg,mu,"(-20.4080556, 57.7)",-20.4080556,57.7,68,56,20,12.75,68
-36.56,-28.51,arraial do cabo,br,"(-22.966667, -42.016667)",-22.966667,-42.016667,70.45,87,100,32.66,70.45
9.68,83.65,trincomalee,lk,"(8.5666667, 81.2333333)",8.5666667,81.2333333,79.47,81,65,6.46,79.47
-7.52,151.88,kimbe,pg,"(-5.55, 150.15)",-5.55,150.15,85.28,72,100,5.23,85.28
-63.21,-28.21,mar del plata,ar,"(-38.002278, -57.557539)",-38.002278,-57.557539,53.22,81,0,4.7,55
39.88,-37.61,ribeira grande,pt,"(38.516667, -28.7)",38.516667,-28.7,68.95,93,100,16.02,68.95
51.06,64.39,kushmurun,kz,"(52.450278, 64.631111)",52.450278,64.631111,35.24,82,56,7.34,35.24
48.38,37.71,shcherbynivka,ua,"(48.39489, 37.791021)",48.39489,37.791021,51.58,82,100,2.08,51.58
-3.32,94.99,padang,id,"(-0.953154, 100.367659)",-0.953154,100.367659,78.8,83,40,9.17,78.8
-5.55,-53.95,sao felix do xingu,br,"(-6.633333, -51.983333)",-6.633333,-51.983333,70.34,96,100,1.28,70.34
67.19,-152.28,college,us,"(64.8569444, -147.8027778)",64.8569444,-147.8027778,10.26,78,90,3.36,12.2
63.03,-144.58,fairbanks,us,"(64.8377778, -147.7163889)",64.8377778,-147.7163889,10.47,85,90,3.36,12.2
54.02,26.5,dzerzhinsk,by,"(53.685, 27.1419444)",53.685,27.1419444,41,100,75,2.24,41
-35.68,-157.83,avarua,ck,"(-21.2077778, -159.775)",-21.2077778,-159.775,75.2,78,93,14.99,75.2
81.66,-15.12,illoqqortoormiut,gl,"(70.4833333, -21.9666667)",70.4833333,-21.9666667,23.88,93,100,17.29,23.88
11.22,136.88,airai,pw,"(7.3575, 134.5577778)",7.3575,134.5577778,84.2,74,75,21.92,84.2
-2.95,-157.14,faanui,pf,"(-16.4833333, -151.75)",-16.4833333,-151.75,78.8,79,7,16.73,78.8
-27.29,-144.76,mataura,pf,"(-23.3666667, -149.4666667)",-23.3666667,-149.4666667,66.94,93,100,21.18,66.94
20.53,0.5,tessalit,ml,"(20.2013889, 1.0088889)",20.2013889,1.0088889,75.15,19,64,11.7,75.15
13.83,14.51,mao,td,"(14.1194444, 15.3133333)",14.1194444,15.3133333,80.55,18,0,12.84,80.55
-31.02,101.02,geraldton,au,"(-28.778971, 114.614594)",-28.778971,114.614594,75.2,64,40,12.75,75.2
-51.94,-107.02,castro,cl,"(-42.463611, -73.808333)",-42.463611,-73.808333,52.41,81,0,5.82,53.01
69.82,97.39,khatanga,ru,"(71.966667, 102.5)",71.966667,102.5,-10.46,85,0,6.29,-10.46
35.47,38.72,manbij,sy,"(36.5266667, 37.9563889)",36.5266667,37.9563889,59,67,75,3.74,59
30.36,-127.95,lompoc,us,"(34.6391667, -120.4569444)",34.6391667,-120.4569444,58.75,82,1,5.82,60.8
37.05,49.44,rudbar,ir,"(36.8049, 49.408)",36.8049,49.408,69.26,25,5,4.9,69.26
-14.86,38.87,nampula,mz,"(-15.1197222, 39.2647222)",-15.1197222,39.2647222,69.8,88,20,3.36,69.8
57.36,91.01,novobirilyussy,ru,"(56.9526, 90.6807)",56.9526,90.6807,20.14,97,100,1.3,20.14
11.89,-143.15,hilo,us,"(19.7297222, -155.09)",19.7297222,-155.09,77.45,74,90,8.05,82.4
-61.92,-22.91,chuy,uy,"(-33.6833333, -53.45)",-33.6833333,-53.45,53.58,87,98,5.7,53.58
54.2,56.16,karmaskaly,ru,"(54.3709, 56.1837)",54.3709,56.1837,35.6,69,0,6.71,35.6
-18.57,-154.96,vaitape,pf,"(-16.5166667, -151.75)",-16.5166667,-151.75,79.65,78,7,16.69,79.65
44.33,-126.62,north bend,us,"(43.4066667, -124.2230556)",43.4066667,-124.2230556,56.01,87,40,6.93,57
-8.1,143.19,balimo,pg,"(-8.05, 142.95)",-8.05,142.95,87.6,63,61,4.92,87.6
-26.97,17.51,bethanien,na,"(-26.4833333, 17.15)",-26.4833333,17.15,56.32,38,3,3.42,56.32
32.22,85.95,pokhara,np,"(28.2333333, 83.9833333)",28.2333333,83.9833333,72.07,22,59,5.41,72.07
52.95,53.99,aleksandrovka,ru,"(52.683333, 54.416667)",52.683333,54.416667,41.16,66,100,10.4,41.16
19.91,-126.49,guerrero negro,mx,"(27.976944, -114.061111)",27.976944,-114.061111,68.88,50,27,9.95,68.88
40.76,110.51,dongsheng,cn,"(39.816085, 109.977629)",39.816085,109.977629,37.18,61,0,14.61,37.18
49.58,111.27,kyra,ru,"(49.5776, 111.9753)",49.5776,111.9753,31.98,87,99,14.76,31.98
-28.73,-63.19,santiago del estero,ar,"(-27.795112, -64.261489)",-27.795112,-64.261489,64.67,32,0,8.86,64.67
-29.49,-74.45,coquimbo,cl,"(-29.953333, -71.343611)",-29.953333,-71.343611,53.6,87,90,6.93,53.6
12.08,79.38,vettavalam,in,"(12.1, 79.25)",12.1,79.25,75.87,67,1,4.12,75.87
84.24,-57.4,upernavik,gl,"(72.7833333, -56.1666667)",72.7833333,-56.1666667,19.78,96,99,3.8,19.78
44.15,153.23,sentyabrskiy,ru,"(45.266667, 148.5)",45.266667,148.5,48.07,71,62,31.56,48.07
63.45,-11.45,hofn,is,"(64.25, -15.216667)",64.25,-15.216667,45.63,75,0,24.74,45.63
9.39,60.06,bargal,so,"(11.2833333, 51.0833333)",11.2833333,51.0833333,75.6,69,1,9.64,75.6
16.03,156.61,kavieng,pg,"(-2.5666667, 150.8)",-2.5666667,150.8,83.23,74,100,7.43,83.23
45.97,-82.96,blind river,ca,"(46.183333, -82.95)",46.183333,-82.95,31.62,68,1,3.36,33.8
27.54,157.74,hasaki,jp,"(35.733333, 140.833333)",35.733333,140.833333,63.21,45,20,17.22,64
86.0,42.26,belushya guba,ru,"(71.539238, 52.332117)",71.539238,52.332117,34.05,89,84,21.5,34.05
66.81,67.54,aksarka,ru,"(66.560556, 67.7975)",66.560556,67.7975,34.47,98,100,14.52,34.47
19.36,10.58,bilma,ne,"(18.6866667, 12.9191667)",18.6866667,12.9191667,69.89,25,0,12.62,69.89
44.2,134.96,rudnyy,ru,"(44.282778, 134.959444)",44.282778,134.959444,52.43,43,5,2.3,52.43
21.97,45.09,riyadh,sa,"(24.653664, 46.71522)",24.653664,46.71522,60.8,51,0,2.46,60.8
36.26,-173.64,kapaa,us,"(22.0783333, -159.3219444)",22.0783333,-159.3219444,81.59,65,75,5.82,82.4
-2.13,-10.6,georgetown,sh,"(-7.9333333, -14.4166667)",-7.9333333,-14.4166667,73.67,79,100,20.29,73.67
0.41,-112.21,coahuayana,mx,"(18.7, -103.658333)",18.7,-103.658333,75.2,83,75,1.03,75.2
69.14,-56.02,kangaatsiaq,gl,"(68.3, -53.4666667)",68.3,-53.4666667,26.24,93,99,4.34,26.24
28.82,-1.85,adrar,dz,"(27.9, -0.2833333)",27.9,-0.2833333,68,32,0,16.11,68
48.1,23.01,pidvynohradiv,ua,"(48.139468, 22.971938)",48.139468,22.971938,45.95,100,100,8.05,46.4
-28.64,-66.58,catamarca,ar,"(-28.469574, -65.785239)",-28.469574,-65.785239,48.99,63,0,1.01,48.99
49.87,-86.1,longlac,ca,"(49.783333, -86.55)",49.783333,-86.55,21.2,73,20,4.7,21.2
-29.33,177.95,russell,nz,"(-35.266667, 174.116667)",-35.266667,174.116667,68.11,80,45,15.43,68.11
51.63,83.85,charyshskoye,ru,"(51.3978, 83.5598)",51.3978,83.5598,26.89,93,100,2.51,26.89
-19.26,69.08,grand river south east,mu,"(-20.2861111, 57.7758333)",-20.2861111,57.7758333,66,56,20,12.75,68
61.84,-37.63,tasiilaq,gl,"(65.6, -37.6333333)",65.6,-37.6333333,33.8,80,100,56.37,33.8
-41.99,-5.97,saldanha,za,"(-33.01167, 17.944202)",-33.01167,17.944202,50,76,0,9.17,50
-89.23,142.98,hobart,au,"(-42.883209, 147.331665)",-42.883209,147.331665,66.54,51,40,11.41,70
64.35,102.52,tura,ru,"(64.283333, 100.25)",64.283333,100.25,-9.67,90,11,2.68,-9.67
7.17,66.16,kulhudhuffushi,mv,"(6.6166667, 73.05)",6.6166667,73.05,81.97,68,0,4.52,81.97
-8.17,64.1,victoria,sc,"(-4.6166667, 55.45)",-4.6166667,55.45,80.6,78,20,4.7,80.6
66.93,45.6,mezen,ru,"(65.840291, 44.249269)",65.840291,44.249269,33.13,93,7,7.61,33.13
52.6,45.84,lopatino,ru,"(52.619487, 45.811838)",52.619487,45.811838,43,67,100,9.26,43
-17.82,26.04,livingstone,zm,"(-17.85, 25.8666667)",-17.85,25.8666667,70.84,37,0,3.76,70.84
17.69,74.95,pandharpur,in,"(17.666667, 75.333333)",17.666667,75.333333,74.82,69,45,2.75,74.82
36.23,-68.13,hamilton,bm,"(32.2941667, -64.7838889)",32.2941667,-64.7838889,78.93,88,40,19.46,80.01
-22.04,-153.44,avera,pf,"(-22.45, -151.35)",-22.45,-151.35,71.08,88,100,23.53,71.08
76.67,28.13,mehamn,no,"(71.033333, 27.85)",71.033333,27.85,29.93,95,31,9.6,29.93
68.61,38.33,ostrovnoy,ru,"(68.053056, 39.513056)",68.053056,39.513056,32.92,93,86,17.45,32.92
22.16,-55.36,codrington,ag,"(17.6333333, -61.8333333)",17.6333333,-61.8333333,81.25,69,40,11.41,82.4
-5.96,-144.41,atuona,pf,"(-9.8, -139.0333333)",-9.8,-139.0333333,77.99,74,53,11.43,77.99
55.91,-107.35,meadow lake,ca,"(54.129722, -108.434722)",54.129722,-108.434722,25.25,98,100,7.61,25.25
16.46,36.67,wagar,sd,"(16.1527778, 36.2041667)",16.1527778,36.2041667,79.2,49,0,7.92,79.2
19.9,-96.66,emilio carranza,mx,"(19.966667, -96.6)",19.966667,-96.6,70.03,68,98,12.46,70.03
55.74,111.36,kichera,ru,"(55.9375, 110.099722)",55.9375,110.099722,23.32,88,100,3.69,23.32
33.07,36.38,nawa,sy,"(32.8833333, 36.05)",32.8833333,36.05,62.82,66,80,2.24,62.82
60.22,134.69,ust-maya,ru,"(60.416667, 134.533333)",60.416667,134.533333,4.96,89,100,2.91,4.96
75.53,94.18,talnakh,ru,"(69.4865, 88.3972)",69.4865,88.3972,14,78,100,29.08,14
54.27,-18.08,dingle,ie,"(52.1408333, -10.2688889)",52.1408333,-10.2688889,58.03,93,100,31.76,58.03
-57.07,20.35,bredasdorp,za,"(-34.532154, 20.040308)",-34.532154,20.040308,48.2,81,25,2.51,48.2
-11.5,67.9,hithadhoo,mv,"(-0.6, 73.0833333)",-0.6,73.0833333,83.64,73,100,9.42,83.64
3.49,65.33,kudahuvadhoo,mv,"(2.6666667, 72.9)",2.6666667,72.9,82.67,73,100,9.69,82.67
54.76,-98.86,thompson,ca,"(55.75, -97.866667)",55.75,-97.866667,17.6,72,90,6.93,17.6
66.52,-15.46,husavik,is,"(66.05, -17.35)",66.05,-17.35,42.8,75,75,18.34,42.8
53.04,-62.45,havre-saint-pierre,ca,"(50.25, -63.583333)",50.25,-63.583333,23,67,1,5.82,23
-7.29,-36.32,soledade,br,"(-7.05, -36.35)",-7.05,-36.35,73.4,88,75,11.41,73.4
-35.56,-92.07,lebu,cl,"(-37.616667, -73.65)",-37.616667,-73.65,51.46,90,2,12.97,51.46
65.6,151.97,zyryanka,ru,"(65.75, 150.85)",65.75,150.85,6.39,93,100,2.1,6.39
40.22,56.27,gazanjyk,tm,"(39.2430556, 55.5169444)",39.2430556,55.5169444,51.62,41,0,8.63,51.62
55.17,-52.07,saint anthony,ca,"(51.383333, -55.6)",51.383333,-55.6,27.25,68,0,10.29,28.99
47.47,51.83,atyrau,kz,"(47.116667, 51.883333)",47.116667,51.883333,44.6,48,0,17.9,44.6
-1.99,-38.65,trairi,br,"(-3.283333, -39.25)",-3.283333,-39.25,78.73,78,1,9.89,78.73
60.82,164.0,ossora,ru,"(59.235278, 163.071944)",59.235278,163.071944,34.79,82,91,0.83,34.79
56.32,-155.69,kodiak,us,"(57.79, -152.4072222)",57.79,-152.4072222,33.8,64,90,6.93,33.8
-4.11,39.09,kinango,ke,"(-4.1333333, 39.3166667)",-4.1333333,39.3166667,70.43,96,57,3.91,70.43
-29.11,134.1,flinders,au,"(-32.79924, 134.211594)",-32.79924,134.211594,63.84,57,100,9.75,63.84
-47.13,171.16,dunedin,nz,"(-45.866667, 170.5)",-45.866667,170.5,55.99,82,100,3,55.99
-24.35,98.06,carnarvon,au,"(-24.88073, 113.659401)",-24.88073,113.659401,75.2,64,90,11.41,75.2
86.98,147.9,chokurdakh,ru,"(70.633333, 147.916667)",70.633333,147.916667,10.09,96,100,7.65,10.09
-24.4,135.63,alice springs,au,"(-23.697479, 133.883621)",-23.697479,133.883621,77,21,0,11.41,77
74.39,66.3,amderma,ru,"(69.7576, 61.6655)",69.7576,61.6655,33.22,92,34,20.09,33.22
-20.19,-26.69,caravelas,br,"(-17.75, -39.25)",-17.75,-39.25,75.74,84,35,7.02,75.74
4.62,76.68,male,mv,"(4.1666667, 73.5)",4.1666667,73.5,82.4,83,75,6.93,82.4
21.58,-92.29,celestun,mx,"(20.866667, -90.4)",20.866667,-90.4,76.98,79,83,14.52,76.98
53.98,1.27,skegness,gb,"(53.133333, 0.35)",53.133333,0.35,55.04,93,100,8.01,57.99
24.6,104.0,zhongshu,cn,"(24.516667, 103.766667)",24.516667,103.766667,60.6,87,100,3.91,60.6
1.89,92.91,meulaboh,id,"(4.1363, 96.1285)",4.1363,96.1285,81.48,74,100,3.06,81.48
6.29,5.16,okitipupa,ng,"(6.504748, 4.78391)",6.504748,4.78391,74.57,98,100,0.11,74.57
53.32,-8.26,ballinasloe,ie,"(53.3275, -8.2194444)",53.3275,-8.2194444,57.99,90,100,14,57.99
-24.24,87.95,bengkulu,id,"(-3.8, 102.266667)",-3.8,102.266667,82.2,71,95,1.39,82.2
69.96,113.99,saskylakh,ru,"(71.916667, 114.083333)",71.916667,114.083333,-2.56,82,5,6.11,-2.56
66.35,171.74,komsomolskiy,ru,"(69.166667, 172.7)",69.166667,172.7,1.96,94,98,4.18,1.96
-1.39,-58.6,urucara,br,"(-2.536667, -57.758056)",-2.536667,-57.758056,80.2,78,26,1.72,80.2
78.53,12.62,barentsburg,sj,"(78.0666667, 14.2333333)",78.0666667,14.2333333,17.6,72,40,5.82,17.6
64.9,155.81,dukat,ru,"(62.55, 155.55)",62.55,155.55,14.31,93,84,4.9,14.31
34.5,120.63,hede,cn,"(33.768056, 120.251667)",33.768056,120.251667,64.74,47,0,6.82,64.74
62.87,-55.85,maniitsoq,gl,"(65.4166667, -52.9)",65.4166667,-52.9,20.66,85,74,6.06,20.66
37.3,-70.31,nantucket,us,"(41.2833333, -70.1)",41.2833333,-70.1,42.01,67,90,19.46,42.01
-33.31,8.55,oranjemund,na,"(-28.55, 16.4333333)",-28.55,16.4333333,56.07,82,0,17.16,56.07
6.61,-100.52,puerto escondido,mx,"(15.85, -97.066667)",15.85,-97.066667,78.8,54,75,5.82,78.8
-33.17,23.75,willowmore,za,"(-33.292647, 23.489537)",-33.292647,23.489537,45.45,84,0,4.65,45.45
-25.46,139.18,mount isa,au,"(-20.725229, 139.497269)",-20.725229,139.497269,82.4,16,0,9.17,82.4
35.93,-21.77,vila franca do campo,pt,"(37.716667, -25.433333)",37.716667,-25.433333,69.8,94,75,17.22,69.8
-32.53,3.43,luderitz,na,"(-26.6480556, 15.1594444)",-26.6480556,15.1594444,59.2,59,100,26.8,59.2
14.1,48.9,qandala,so,"(11.4711111, 49.8738889)",11.4711111,49.8738889,79.97,63,9,9.17,79.97
0.14,96.56,sibolga,id,"(1.7427, 98.7792)",1.7427,98.7792,85.01,61,45,1.39,85.01
6.18,42.98,xuddur,so,"(4.1166667, 43.9)",4.1166667,43.9,71.94,87,100,4.85,71.94
41.0,39.98,trabzon,tr,"(41.005, 39.726944)",41.005,39.726944,66.2,77,40,5.82,66.2
40.02,145.16,kushiro,jp,"(42.975, 144.374722)",42.975,144.374722,50,57,40,6.93,50
54.32,-164.88,bethel,us,"(60.7922222, -161.7558333)",60.7922222,-161.7558333,19.92,92,90,14.99,21.2
53.73,61.34,troitsk,ru,"(54.0979, 61.5773)",54.0979,61.5773,35.6,83,100,9.13,35.6
-35.2,173.03,ahipara,nz,"(-35.166667, 173.166667)",-35.166667,173.166667,67.21,87,46,13.91,67.21
0.69,-86.82,san cristobal,ec,"(-0.9166667, -89.5666667)",-0.9166667,-89.5666667,67.46,95,79,10.25,67.46
-46.41,-75.27,coihaique,cl,"(-45.566667, -72.066667)",-45.566667,-72.066667,57.2,54,0,3.36,57.2
34.87,-17.06,camacha,pt,"(33.083333, -16.333333)",33.083333,-16.333333,66.2,82,20,4.7,66.2
-8.54,117.54,sumbawa,id,"(-8.5, 117.433333)",-8.5,117.433333,88.77,55,57,3.29,88.77
34.44,-63.54,saint george,bm,"(32.3816667, -64.6780556)",32.3816667,-64.6780556,78.94,88,40,19.46,80.01
44.16,-117.79,baker city,us,"(44.775, -117.8333333)",44.775,-117.8333333,45.88,37,1,16.11,55.4
42.04,-115.46,mountain home,us,"(43.1330556, -115.6902778)",43.1330556,-115.6902778,62.6,20,90,5.82,62.6
46.65,-65.42,salisbury,ca,"(46.033333, -65.05)",46.033333,-65.05,33.06,89,75,14.99,34
60.58,-112.88,yellowknife,ca,"(62.45, -114.35)",62.45,-114.35,13.39,92,75,4.7,14
18.93,-40.74,ponta do sol,cv,"(17.2, -25.1)",17.2,-25.1,77,73,40,33.33,77
-8.28,-28.8,pitimbu,br,"(-7.466667, -34.8)",-7.466667,-34.8,77,88,20,6.93,77
-5.5,140.36,kiunga,pg,"(-6.1166667, 141.3)",-6.1166667,141.3,93.79,50,43,2.04,93.79
61.05,137.96,solnechnyy,ru,"(60.416667, 137.5)",60.416667,137.5,1.83,86,100,2.08,1.83
