,0,1
83,39.9511111,20.0977778
84,41.3230556,19.4413889
85,41.1125,20.0822222
86,40.3377778,20.6788889
87,40.7238889,19.5561111
88,42.2647222,20.0269444
89,42.2605556,20.0169444
90,42.0622222,20.0166667
91,41.4783333,19.7177778
92,40.0758333,20.1388889
93,40.8697222,20.1844444
94,40.1016667,19.7447222
95,41.3816667,19.7602778
96,41.1855556,19.5569444
97,40.3130556,20.1894444
98,41.2155556,19.9713889
99,41.4844444,20.1080556
100,39.6588889,20.1813889
101,42.2136111,19.4363889
102,40.6186111,20.7808333
103,41.4225,20.205
104,41.5091667,19.7927778
105,40.8002778,19.9166667
106,42.0769444,20.4219444
107,41.7797222,20.0836111
108,41.6355556,19.7130556
109,40.1513889,20.5972222
110,41.7836111,19.6436111
111,40.0311111,20.2630556
112,41.1794444,20.315
113,40.9419444,19.705
114,40.7058333,20.6997222
115,41.5775,19.6922222
116,40.3458333,19.9791667
117,41.6802778,19.7244444
118,40.3252778,19.4713889
119,40.6833333,19.6194444
120,41.0461111,19.7511111
121,40.2336111,20.3516667
122,41.0730556,20.5488889
123,41.685,20.4288889
124,40.9025,20.6525
125,40.6122222,20.0980556
126,42.0444444,19.8997222
127,40.7375,19.7022222
128,41.7675,19.8755556
129,41.0763889,19.6652778
130,41.7744444,19.7861111
131,39.8755556,20.0052778
132,40.5305556,19.6358333
133,41.8136111,19.5938889
134,41.3455556,19.5672222
135,42.0675,19.5130556
136,40.2958333,20.0191667
137,41.3275,19.8188889
138,41.6827778,19.8933333
139,40.4666667,19.4897222
140,41.3908333,19.655
141,40.0488889,44.5475
142,40.2691667,44.6244444
143,39.7363889,45.3455556
144,40.3077778,44.2847222
145,41.0105556,44.4675
146,39.2038889,46.5472222
147,40.5841667,44.6913889
148,39.7836111,45.2280556
149,40.2336111,44.2513889
150,40.7813889,43.8963889
151,40.1430556,44.1483333
152,40.0958333,44.2861111
153,41.1305556,44.6519444
154,40.9466667,43.7813889
155,40.2416667,44.2727778
156,40.6419444,43.9822222
157,40.0961111,44.2511111
158,40.5961111,44.3536111
159,40.3330556,43.6580556
160,40.2183333,44.2327778
161,40.4025,44.5436111
162,40.2511111,44.6630556
163,40.7797222,43.8005556
164,39.8094444,44.7144444
165,40.0427778,44.1458333
166,41.1641667,44.8725
167,39.7208333,45.1838889
168,40.0361111,44.4688889
169,40.1416667,44.3708333
170,40.8613889,44.2727778
171,40.1005556,44.0969444
172,40.7361111,43.8927778
173,40.0391667,44.5416667
174,40.6486111,44.0444444
175,40.1580556,44.44
176,40.0608333,44.0952778
177,40.3794444,44.5994444
178,39.7666667,44.8083333
179,40.0897222,44.0483333
180,40.1688889,44.2141667
181,39.9538889,44.5505556
182,40.2983333,43.7541667
183,40.1513889,44.2663889
184,40.8336111,45.4711111
185,40.1544444,45.5022222
186,40.4494444,44.6063889
187,40.2963889,44.5958333
188,40.3275,43.9166667
189,40.3016667,44.3591667
190,40.1238889,45.3566667
191,39.8405556,44.6836111
192,39.8647222,44.6702778
193,39.4627778,46.4152778
194,40.9744444,45.2519444
195,40.1886111,44.3833333
196,39.95,44.6
197,40.2355556,44.2866667
198,40.0666667,44.0666667
199,40.0030556,44.5575
200,39.9458333,44.6088889
201,40.6841667,45.1730556
202,41.195,44.8925
203,41.1716667,44.8191667
204,40.9758333,45.1980556
205,40.7238889,43.8205556
206,39.9833333,44.5
207,40.1333333,44.0666667
208,40.1908333,43.8494444
209,41.2458333,44.8211111
210,40.2536111,44.6038889
211,40.1144444,44.0122222
212,40.0852778,44.5786111
213,40.8680556,44.4455556
214,41.2027778,45.0033333
215,40.8808333,45.3916667
216,39.4969444,45.9730556
217,39.5338889,46.3030556
218,40.4552778,44.5205556
219,40.3413889,44.2736111
220,40.0161111,44.5186111
221,40.3147222,44.5936111
222,40.5952778,45.3475
223,41.1861111,44.8313889
224,39.9669444,44.5363889
225,40.2183333,43.8602778
226,40.1058333,44.4138889
227,40.8380556,44.4233333
228,40.1016667,44.3905556
229,40.5719444,44.8122222
230,40.7408333,44.8630556
231,40.0080556,44.4880556
232,40.2227778,44.2716667
233,40.5688889,45.2319444
234,40.9633333,44.6516667
235,40.02,44.5852778
236,40.5155556,43.8133333
237,40.205,44.6430556
238,40.1752778,45.175
239,40.3941667,44.685
240,40.7247222,44.7138889
241,40.5369444,44.8577778
242,40.3147222,45.1113889
243,40.1194444,44.7230556
244,40.3588889,45.1266667
245,40.0838889,44.3055556
246,40.3116667,45.68
247,40.5619444,44.8827778
248,40.1497222,44.4344444
249,40.8958333,45.1313889
250,40.0433333,43.9447222
251,40.0380556,44.5638889
252,40.1261111,44.4177778
253,39.7783333,45.3477778
254,40.8955556,44.1991667
255,39.5077778,46.3386111
256,40.7225,45.0033333
257,40.1130556,44.2716667
258,40.9697222,44.4713889
259,40.7894444,43.8475
260,40.7780556,44.9625
261,40.1197222,44.3775
262,40.0727778,44.3069444
263,40.7558333,43.77
264,40.6427778,44.1444444
265,40.1361111,44.0138889
266,40.6541667,43.8822222
267,40.1019444,44.3427778
268,40.0244444,44.45
269,40.5016667,44.7547222
270,40.8755556,45.1491667
271,40.0455556,44.0208333
272,39.8416667,45.6722222
273,40.0452778,44.4736111
274,40.7875,44.1972222
275,40.0547222,44.5133333
276,40.2358333,44.6938889
277,40.8280556,43.9483333
278,40.2472222,44.5366667
279,39.2011111,46.415
280,40.3244444,44.6938889
281,40.3338889,44.3777778
282,40.1638889,45.5722222
283,40.5333333,44.4166667
284,40.9386111,45.1797222
285,39.5122222,46.4336111
286,40.3072222,44.16
287,40.2730556,45.1444444
288,40.5202778,44.9308333
289,40.1238889,43.9652778
290,40.5669444,43.9361111
291,40.4675,44.7980556
292,40.7955556,44.2783333
293,40.82,44.3972222
294,40.7883333,44.1844444
295,40.9388889,44.7725
296,40.1758333,44.0186111
297,40.0802778,45.2511111
298,40.8530556,43.8294444
299,39.7369444,45.3875
300,40.5722222,43.8669444
301,40.7380556,44.6875
302,40.0336111,44.1738889
303,40.0575,44.4711111
304,40.8375,43.7719444
305,40.1447222,45.3063889
306,40.0138889,44.4858333
307,40.2522222,44.6383333
308,40.6147222,44.6522222
309,40.6758333,43.9486111
310,38.9022222,46.2383333
311,40.1816667,44.3991667
312,40.0713889,44.2891667
313,41.2016667,44.2288889
314,40.2186111,45.7694444
315,40.8372222,44.1091667
316,40.9063889,45.4913889
